Alleles,ChinRhe,IndiRhe,IndoCyn,MaurCyn,Total,Leader only,Upstream only,Both primers sets,Genomically validated,Previous databases,Genomic assemblies
IGHV2-7*02_S4285,6,5,1,3,15,F,F,T,F,T,F
IGHV2-NL_1*01_S2133,1,0,0,0,1,F,F,T,F,F,F
IGHV2-NL_1*01_S2488,0,1,1,0,2,F,F,T,F,F,F
IGHV2-NL_1*01_S3296,0,1,1,0,2,F,F,T,F,F,F
IGHV2-NL_1*01_S4514,0,1,0,0,1,F,F,T,F,F,F
IGHV2-NL_1*01_S5211,0,1,0,0,1,F,F,T,F,F,F
IGHV2-NL_1*01_S5431,1,0,0,0,1,F,F,T,F,F,F
IGHV2-NL_1*01_S5779,3,4,1,0,8,F,F,T,F,T,F
IGHV2-NL_1*01_S7874,4,0,0,0,4,F,F,T,F,T,F
IGHV2-NL_1*01_S9725,1,4,0,0,5,F,F,T,F,F,F
IGHV2-NL_2*01_S2193,2,1,3,12,18,F,F,T,T,T,F
IGHV2-NL_2*01_S8873,0,3,1,0,4,F,F,T,F,F,F
IGHV3-100*01,0,2,0,0,2,F,F,T,T,T,T
IGHV3-100*01_S2822,1,0,0,0,1,T,F,F,F,F,F
IGHV3-100*01_S4205,1,0,0,0,1,F,F,T,F,T,F
IGHV3-100*01_S4375,10,7,3,5,25,F,F,T,T,T,F
IGHV3-100*02_S9884,0,1,0,0,1,F,F,T,F,F,F
IGHV3-103*01,1,8,0,0,9,F,F,T,T,T,T
IGHV3-103*01_S2756,1,0,0,0,1,F,F,T,F,T,F
IGHV3-119*01,7,9,2,0,18,F,F,T,T,T,T
IGHV3-119*01_S9769,0,3,2,0,5,F,F,T,F,F,F
IGHV3-119*02,0,3,1,0,4,F,F,T,F,T,T
IGHV3-120*01_S4231,1,1,0,0,2,F,F,T,F,F,F
IGHV3-122*01,3,9,2,0,14,F,F,T,F,T,T
IGHV3-122*01_S2709,1,0,0,0,1,F,T,F,F,F,F
IGHV3-122*01_S2730,1,0,0,0,1,F,F,T,F,F,F
IGHV3-122*01_S5299,5,5,0,0,10,F,F,T,F,T,F
IGHV3-122*01_S6138,2,1,0,0,3,F,F,T,F,T,F
IGHV3-122*01_S8125,0,1,0,0,1,F,F,T,F,F,F
IGHV3-122*01_S8388,6,9,4,11,30,F,F,T,F,T,T
IGHV3-127*01,0,6,1,9,16,T,F,F,T,T,T
IGHV3-127*01_S1834,0,2,0,0,2,T,F,F,F,T,F
IGHV3-127*01_S2849,0,1,0,0,1,T,F,F,F,F,F
IGHV3-127*01_S3041,1,0,0,0,1,T,F,F,F,T,F
IGHV3-127*01_S3553,0,2,0,0,2,T,F,F,F,F,F
IGHV3-127*01_S5171,5,0,0,0,5,T,F,F,F,F,F
IGHV3-127*01_S5510,3,4,2,0,9,T,F,F,F,F,F
IGHV3-127*01_S6769,0,2,2,4,8,T,F,F,F,F,F
IGHV3-127*01_S7059,3,0,2,0,5,F,F,T,F,F,F
IGHV3-127*01_S8923,1,0,0,0,1,T,F,F,F,F,F
IGHV3-127*01_S9779,1,0,0,0,1,T,F,F,F,T,T
IGHV3-128*01,0,9,2,0,11,F,F,T,T,T,T
IGHV3-128*01_S1128,1,4,0,0,5,F,F,T,F,F,F
IGHV3-128*01_S3120,1,0,0,0,1,F,T,F,F,F,F
IGHV3-128*01_S5770,1,0,0,0,1,F,F,T,F,F,F
IGHV3-128*01_S6966,0,1,0,0,1,F,T,F,F,F,F
IGHV3-128*02,2,3,0,0,5,F,F,T,F,T,F
IGHV3-128*02_S0204,6,4,0,0,10,F,F,T,F,T,F
IGHV3-128*02_S1375,0,2,0,0,2,F,F,T,F,F,F
IGHV3-128*02_S1569,2,0,0,0,2,F,F,T,F,F,F
IGHV3-128*02_S1570,3,0,0,0,3,F,F,T,F,F,F
IGHV3-128*02_S2156,0,1,0,0,1,F,F,T,F,F,F
IGHV3-128*02_S2995,1,2,0,0,3,F,F,T,F,T,F
IGHV3-128*02_S3121,1,1,0,0,2,F,F,T,F,F,F
IGHV3-128*02_S5001,1,0,0,0,1,F,F,T,F,F,F
IGHV3-128*02_S6042,2,1,1,0,4,F,F,T,F,F,F
IGHV3-128*02_S6299,1,0,0,0,1,F,F,T,F,F,F
IGHV3-141*01_S2525,1,0,0,0,1,F,F,T,F,F,F
IGHV3-141*01_S3493,1,2,0,0,3,F,F,T,F,F,F
IGHV3-141*01_S4264,0,2,2,0,4,F,F,T,F,F,F
IGHV3-141*01_S5017,1,0,0,0,1,T,F,F,F,F,F
IGHV3-141*01_S5053,1,0,0,0,1,F,F,T,F,F,F
IGHV3-141*01_S6168,1,1,0,0,2,F,F,T,F,F,F
IGHV3-141*01_S8690,1,0,0,5,6,F,F,T,F,T,F
IGHV3-141*02_S1149,0,1,0,0,1,F,F,T,F,T,F
IGHV3-141*02_S2868,2,0,0,0,2,F,F,T,F,F,F
IGHV3-141*02_S4530,1,0,0,0,1,F,F,T,F,F,F
IGHV3-141*02_S6589,0,1,1,0,2,F,F,T,T,F,F
IGHV3-143*01,2,5,2,0,9,F,F,T,F,T,T
IGHV3-143*01_S1151,1,0,1,0,2,F,F,T,F,F,F
IGHV3-152*01,0,2,2,2,6,F,F,T,F,T,T
IGHV3-152*01_S1133,1,0,0,0,1,T,F,F,F,F,F
IGHV3-152*01_S1340,0,2,0,0,2,F,F,T,F,F,F
IGHV3-152*01_S5891,2,3,0,0,5,F,F,T,F,F,F
IGHV3-152*01_S7388,2,1,0,7,10,F,F,T,F,T,F
IGHV3-172*01,0,8,0,0,8,F,F,T,F,T,T
IGHV3-172*01_S0072,1,0,0,0,1,T,F,F,F,F,F
IGHV3-172*01_S0577,0,2,0,0,2,F,F,T,F,F,F
IGHV3-172*01_S0645,2,0,0,0,2,F,F,T,F,F,F
IGHV3-172*01_S1597,2,0,3,12,17,F,F,T,F,T,T
IGHV3-172*01_S2175,0,5,3,0,8,F,F,T,F,T,F
IGHV3-172*01_S8488,1,1,3,4,9,F,F,T,F,T,F
IGHV3-172*01_S8824,2,3,0,0,5,F,F,T,F,F,F
IGHV3-175*01,1,5,0,0,6,F,F,T,F,T,T
IGHV3-175*01_S1248,1,0,0,0,1,T,F,F,F,F,F
IGHV3-175*01_S1614,0,3,0,0,3,F,F,T,F,F,F
IGHV3-177*01_S1591,0,4,0,0,4,F,F,T,F,T,F
IGHV3-177*01_S4102,2,0,0,0,2,F,F,T,F,F,F
IGHV3-177*01_S5369,4,8,0,0,12,F,F,T,F,T,F
IGHV3-177*01_S6408,0,4,0,0,4,F,F,T,F,F,F
IGHV3-177*01_S8387,1,0,0,0,1,F,F,T,F,F,F
IGHV3-177*01_S8409,2,0,3,12,17,F,F,T,T,F,F
IGHV3-177*01_S8970,1,0,0,0,1,T,F,F,F,F,F
IGHV3-187*01_S1090,1,0,0,0,1,F,F,T,F,F,F
IGHV3-187*01_S1133,2,5,0,0,7,F,F,T,F,T,F
IGHV3-187*01_S1387,2,2,1,5,10,F,F,T,T,T,F
IGHV3-187*01_S2144,3,0,1,0,4,F,F,T,F,T,F
IGHV3-187*01_S3395,1,0,0,0,1,T,F,F,F,T,F
IGHV3-187*01_S4220,0,1,0,0,1,F,F,T,F,F,F
IGHV3-187*01_S4259,2,0,0,0,2,F,F,T,F,F,F
IGHV3-187*01_S6840,5,0,1,0,6,F,F,T,F,T,F
IGHV3-187*01_S8951,1,0,0,0,1,F,F,T,F,F,F
IGHV3-187*01_S8972,1,0,0,0,1,F,F,T,F,F,F
IGHV3-187*01_S9930,1,0,0,0,1,F,F,T,F,F,F
IGHV3-187*02,0,7,0,5,12,F,F,T,T,T,F
IGHV3-187*02_S6102,1,0,0,0,1,T,F,F,F,F,F
IGHV3-187*02_S8458,1,2,0,0,3,F,F,T,F,F,F
IGHV3-28*01,0,3,0,0,3,F,T,F,T,T,T
IGHV3-28*01_S0096,0,1,0,0,1,F,F,T,F,F,F
IGHV3-28*01_S3792,1,0,0,0,1,F,F,T,F,F,F
IGHV3-28*01_S5419,1,0,0,0,1,F,T,F,F,T,F
IGHV3-28*01_S5703,1,0,0,0,1,T,F,F,F,T,F
IGHV3-28*01_S7540,4,4,0,1,9,F,F,T,F,T,T
IGHV3-28*01_S8684,2,0,0,0,2,F,F,T,F,F,F
IGHV3-34*01_S1309,1,2,1,0,4,F,T,F,F,T,F
IGHV3-34*01_S1458,1,0,0,0,1,F,T,F,F,F,F
IGHV3-34*01_S2915,1,2,0,0,3,F,T,F,F,F,F
IGHV3-36*01,2,0,0,0,2,F,T,F,F,T,T
IGHV3-36*01_S5206,2,1,2,0,5,F,F,T,F,T,F
IGHV3-36*01_S6650,2,0,0,5,7,F,F,T,F,F,F
IGHV3-36*01_S7141,1,1,0,0,2,F,F,T,F,F,F
IGHV3-36*01_S9128,3,0,0,0,3,F,F,T,F,T,F
IGHV3-37*01_S4420,1,0,0,0,1,F,F,T,F,F,F
IGHV3-37*01_S6325,2,2,0,0,4,F,F,T,F,F,F
IGHV3-37*01_S6630,0,2,0,0,2,F,F,T,F,F,F
IGHV3-37*01_S9699,0,1,0,0,1,F,F,T,F,F,F
IGHV3-5*01,6,11,4,0,21,F,F,T,T,T,T
IGHV3-5*01_S0388,0,1,0,0,1,F,F,T,F,F,F
IGHV3-5*01_S0969,1,0,0,0,1,F,F,T,F,F,F
IGHV3-5*01_S2703,1,0,0,0,1,T,F,F,F,F,F
IGHV3-5*01_S4091,1,0,0,0,1,T,F,F,F,T,F
IGHV3-5*01_S6059,1,0,0,0,1,F,F,T,F,F,F
IGHV3-50*01,6,8,4,0,18,F,F,T,F,T,T
IGHV3-50*01_S1524,2,0,0,0,2,F,F,T,F,F,F
IGHV3-50*01_S1879,6,7,3,0,16,T,F,F,F,T,F
IGHV3-50*01_S3548,0,1,0,0,1,T,F,F,F,F,F
IGHV3-50*01_S4628,0,1,0,0,1,F,F,T,F,F,F
IGHV3-50*01_S5299,1,0,0,0,1,T,F,F,F,F,F
IGHV3-50*01_S6687,0,1,0,0,1,T,F,F,F,F,F
IGHV3-50*01_S7243,1,0,0,0,1,F,F,T,F,T,F
IGHV3-50*01_S9079,3,2,0,0,5,T,F,F,F,T,F
IGHV3-50*02_S9583,0,1,0,0,1,T,F,F,F,F,F
IGHV3-52*01,1,4,0,0,5,F,F,T,F,T,T
IGHV3-52*01_S3960,1,0,0,0,1,F,F,T,F,F,F
IGHV3-52*01_S8160,0,3,0,5,8,F,F,T,F,F,F
IGHV3-52*02_S2646,1,0,0,0,1,T,F,F,F,T,F
IGHV3-52*02_S4550,1,0,1,8,10,F,F,T,T,F,F
IGHV3-52*02_S5117,0,6,0,0,6,F,F,T,F,T,F
IGHV3-53*01,4,4,0,0,8,F,F,T,F,T,T
IGHV3-53*01_S0543,1,0,0,0,1,F,T,F,F,F,F
IGHV3-53*01_S1252,0,1,0,0,1,T,F,F,F,F,F
IGHV3-53*01_S1558,2,0,0,0,2,F,F,T,F,F,F
IGHV3-53*01_S2000,0,1,0,0,1,F,F,T,F,T,F
IGHV3-53*01_S2253,1,0,0,0,1,F,T,F,F,F,F
IGHV3-53*01_S2949,3,0,0,0,3,F,F,T,F,F,F
IGHV3-53*01_S3027,0,1,0,0,1,F,F,T,F,F,F
IGHV3-53*01_S3451,1,0,0,0,1,T,F,F,F,T,F
IGHV3-53*01_S3647,0,5,0,7,12,F,F,T,F,F,F
IGHV3-53*01_S4071,1,0,0,0,1,T,F,F,F,F,F
IGHV3-53*01_S4256,0,1,0,0,1,T,F,F,F,T,F
IGHV3-53*01_S4423,1,1,0,0,2,F,F,T,F,T,F
IGHV3-53*01_S5688,0,3,0,0,3,T,F,F,F,F,F
IGHV3-53*01_S7463,2,0,0,0,2,F,F,T,F,F,F
IGHV3-53*01_S8116,0,1,0,0,1,F,T,F,F,F,F
IGHV3-53*02,0,3,0,0,3,F,F,T,F,T,T
IGHV3-53*02_S0150,1,0,0,0,1,F,F,T,F,T,F
IGHV3-73*01,0,10,0,0,10,F,F,T,F,T,T
IGHV3-73*01_S3636,0,4,0,0,4,F,F,T,F,T,F
IGHV3-73*01_S6942,4,1,1,0,6,F,F,T,F,T,F
IGHV3-73*02,4,4,0,0,8,F,F,T,F,T,T
IGHV3-73*02_S0085,1,0,0,0,1,T,F,F,F,F,F
IGHV3-73*02_S3937,3,0,0,0,3,F,F,T,F,T,F
IGHV3-73*02_S4412,1,0,0,0,1,T,F,F,F,T,F
IGHV3-73*02_S5005,3,3,2,0,8,F,F,T,T,T,F
IGHV3-73*02_S7884,2,0,0,0,2,F,F,T,F,F,F
IGHV3-73*02_S7955,0,2,0,0,2,F,F,T,F,F,F
IGHV3-73*02_S8830,1,0,0,0,1,F,T,F,F,F,F
IGHV3-76*01,4,10,0,0,14,F,F,T,F,T,T
IGHV3-76*01_S0794,2,0,0,1,3,F,F,T,F,F,F
IGHV3-76*01_S4285,5,3,1,0,9,F,F,T,F,T,F
IGHV3-76*01_S5420,3,0,0,0,3,F,F,T,F,F,F
IGHV3-76*01_S6599,1,0,0,0,1,F,F,T,F,T,F
IGHV3-76*02_S2075,1,0,0,0,1,F,F,T,F,F,F
IGHV3-76*02_S4190,1,8,3,10,22,F,F,T,F,T,T
IGHV3-83*01,2,9,0,0,11,F,F,T,F,T,T
IGHV3-83*01_S5932,1,3,1,9,14,F,F,T,F,F,F
IGHV3-83*01_S9109,1,0,0,0,1,F,T,F,F,T,F
IGHV3-83*02,0,1,0,0,1,T,F,F,F,T,T
IGHV3-83*02_S2462,1,0,0,0,1,F,T,F,F,F,F
IGHV3-83*02_S9518,1,5,0,0,6,F,F,T,F,F,F
IGHV3-87*01,1,8,0,0,9,F,F,T,T,T,T
IGHV3-87*01_S6311,1,1,1,0,3,F,F,T,F,F,F
IGHV3-88*01,3,10,0,0,13,F,F,T,T,T,T
IGHV3-88*01_S1523,0,1,0,0,1,F,F,T,F,F,F
IGHV3-88*01_S4297,2,0,0,0,2,F,F,T,F,T,F
IGHV3-88*01_S6384,0,1,0,0,1,F,F,T,F,F,F
IGHV3-88*01_S6871,1,0,2,0,3,F,F,T,F,T,T
IGHV3-88*01_S9155,3,1,0,0,4,F,F,T,T,F,F
IGHV3-88*01_S9315,0,1,0,0,1,F,F,T,F,F,F
IGHV3-88*01_S9470,2,0,0,0,2,F,F,T,T,T,F
IGHV3-88*02_S1355,0,2,0,0,2,F,F,T,F,F,F
IGHV3-88*02_S3953,1,0,0,0,1,T,F,F,F,F,F
IGHV3-88*02_S5187,1,0,0,0,1,F,F,T,F,F,F
IGHV3-88*02_S5672,1,0,0,0,1,F,F,T,F,F,F
IGHV3-88*02_S7485,0,3,0,0,3,F,F,T,F,F,F
IGHV3-88*02_S7590,2,0,0,0,2,F,F,T,F,F,F
IGHV3-88*02_S7929,1,0,0,0,1,F,T,F,F,F,F
IGHV3-88*02_S9033,1,3,2,0,6,F,F,T,F,T,F
IGHV3-88*02_S9774,1,0,0,0,1,F,T,F,F,F,F
IGHV3-9*01,3,6,3,10,22,F,F,T,F,T,T
IGHV3-9*01_S0778,2,2,1,11,16,F,F,T,F,F,F
IGHV3-9*01_S4754,1,0,0,0,1,F,F,T,F,F,F
IGHV3-9*01_S5797,0,1,0,0,1,F,T,F,F,F,F
IGHV3-9*01_S7896,1,0,0,0,1,F,F,T,F,F,F
IGHV3-9*01_S8326,1,0,0,0,1,F,T,F,F,F,F
IGHV3-9*01_S8777,5,0,1,0,6,F,F,T,T,T,F
IGHV3-9*02,5,11,0,0,16,F,F,T,F,T,T
IGHV3-94*01,7,8,0,10,25,F,F,T,F,T,T
IGHV3-94*01_S3427,1,0,1,0,2,F,F,T,F,T,F
IGHV3-94*01_S4458,0,2,0,0,2,F,F,T,F,F,F
IGHV3-94*01_S5120,1,0,0,0,1,F,F,T,F,F,F
IGHV3-94*01_S7982,0,1,0,0,1,T,F,F,F,F,F
IGHV3-NL_1*01_S1080,0,2,0,0,2,F,F,T,F,F,F
IGHV3-NL_1*01_S2031,2,0,0,0,2,F,F,T,F,F,F
IGHV3-NL_1*01_S2788,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_1*01_S3947,0,1,1,1,3,F,F,T,F,T,F
IGHV3-NL_1*01_S4331,2,5,2,0,9,F,F,T,T,T,F
IGHV3-NL_1*01_S4549,2,0,0,0,2,F,F,T,F,F,F
IGHV3-NL_1*01_S5238,2,0,0,0,2,F,F,T,F,F,F
IGHV3-NL_1*01_S9422,1,2,1,0,4,F,F,T,F,T,F
IGHV3-NL_1*01_S9854,8,6,0,0,14,F,F,T,T,T,F
IGHV3-NL_10*02_S1970,2,0,0,0,2,F,F,T,F,T,F
IGHV3-NL_10*02_S2212,0,1,3,0,4,F,F,T,F,F,F
IGHV3-NL_11*01_S2687,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_11*01_S3736,11,3,0,0,14,F,F,T,T,T,T
IGHV3-NL_11*01_S4619,1,6,2,0,9,F,F,T,F,T,F
IGHV3-NL_11*01_S5714,2,7,4,0,13,F,F,T,F,T,F
IGHV3-NL_11*01_S6390,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_11*01_S8390,3,1,0,0,4,F,F,T,F,T,F
IGHV3-NL_11*01_S8458,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_11*01_S8670,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_11*01_S9627,0,4,0,0,4,F,F,T,F,T,F
IGHV3-NL_11*02_S2668,2,0,0,0,2,F,F,T,F,T,F
IGHV3-NL_12*02_S1760,1,0,0,0,1,F,T,F,F,F,F
IGHV3-NL_12*02_S2468,1,0,1,0,2,F,F,T,F,F,F
IGHV3-NL_12*02_S5864,1,1,1,0,3,F,F,T,T,F,F
IGHV3-NL_12*02_S6994,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_13*01_S2791,1,0,0,0,1,F,T,F,F,F,F
IGHV3-NL_13*01_S3277,0,4,0,12,16,F,F,T,T,F,T
IGHV3-NL_13*01_S3940,0,2,0,0,2,F,F,T,F,F,F
IGHV3-NL_13*01_S5549,0,1,0,0,1,T,F,F,F,F,F
IGHV3-NL_13*01_S5767,0,1,0,0,1,T,F,F,F,F,F
IGHV3-NL_14*01_S0218,3,0,0,0,3,F,F,T,F,F,F
IGHV3-NL_14*01_S0721,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_14*01_S1113,0,5,0,0,5,F,F,T,F,F,F
IGHV3-NL_14*01_S1995,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_14*01_S4949,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_14*01_S6089,1,0,1,0,2,F,F,T,F,F,F
IGHV3-NL_14*01_S6338,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_14*01_S7643,1,0,0,0,1,F,T,F,F,F,F
IGHV3-NL_14*01_S7988,1,0,0,0,1,T,F,F,F,F,F
IGHV3-NL_14*01_S8830,1,0,0,0,1,F,T,F,F,F,F
IGHV3-NL_14*01_S9303,1,1,0,0,2,F,F,T,F,F,F
IGHV3-NL_14*01_S9823,2,0,1,0,3,F,F,T,F,F,F
IGHV3-NL_15*01_S0604,0,1,0,0,1,T,F,F,F,F,F
IGHV3-NL_15*01_S2828,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_15*01_S3018,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_15*01_S4749,0,1,0,0,1,T,F,F,F,F,F
IGHV3-NL_15*01_S5125,0,2,0,0,2,F,F,T,F,F,F
IGHV3-NL_15*01_S7302,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_16*01_S5133,2,0,0,0,2,F,F,T,T,F,F
IGHV3-NL_16*01_S8234,2,1,0,0,3,T,F,F,F,F,T
IGHV3-NL_17*01_S0507,0,4,0,0,4,F,F,T,F,T,F
IGHV3-NL_17*01_S1160,3,0,0,0,3,F,F,T,F,F,F
IGHV3-NL_17*01_S3909,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_17*01_S4250,5,10,3,8,26,F,F,T,T,T,F
IGHV3-NL_17*01_S4257,2,2,0,0,4,F,F,T,F,F,F
IGHV3-NL_17*01_S4736,6,0,0,0,6,F,F,T,F,T,F
IGHV3-NL_17*01_S5770,2,2,0,0,4,F,F,T,F,F,F
IGHV3-NL_17*01_S6544,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_17*01_S8244,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_17*01_S9589,3,3,0,0,6,F,F,T,F,T,F
IGHV3-NL_18*01_S0984,3,1,0,0,4,F,F,T,F,T,F
IGHV3-NL_18*01_S3867,0,9,0,0,9,F,F,T,T,F,F
IGHV3-NL_18*01_S5825,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_18*01_S6383,2,0,1,0,3,F,F,T,F,T,F
IGHV3-NL_18*01_S7053,2,0,0,0,2,F,T,F,F,F,F
IGHV3-NL_19*01_S2472,1,0,0,0,1,F,T,F,F,F,F
IGHV3-NL_19*01_S4000,1,1,0,0,2,F,F,T,F,F,F
IGHV3-NL_19*01_S5168,2,0,0,0,2,F,F,T,F,F,F
IGHV3-NL_19*01_S5460,0,3,0,0,3,F,F,T,F,T,F
IGHV3-NL_19*01_S6635,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_19*01_S6894,0,2,0,0,2,F,F,T,F,F,F
IGHV3-NL_19*01_S7515,1,0,0,0,1,F,T,F,F,F,F
IGHV3-NL_19*01_S9323,0,2,0,0,2,F,F,T,F,F,F
IGHV3-NL_2*01_S1693,0,3,0,0,3,F,T,F,F,F,F
IGHV3-NL_2*01_S3900,5,2,0,0,7,F,F,T,T,T,F
IGHV3-NL_2*01_S5884,0,2,0,0,2,F,F,T,F,F,F
IGHV3-NL_2*01_S6117,1,0,0,0,1,F,T,F,F,F,F
IGHV3-NL_4*01_S0257,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_4*01_S2727,0,1,0,0,1,T,F,F,F,F,F
IGHV3-NL_4*01_S6405,0,1,0,0,1,F,F,T,F,F,F
IGHV3-NL_4*01_S9067,1,0,0,0,1,F,F,T,F,F,F
IGHV3-NL_4*01_S9392,1,0,0,0,1,T,F,F,F,F,F
IGHV3-NL_4*01_S9635,0,2,2,0,4,F,F,T,F,T,F
